ID,DESCRICAO,PRECOVENDA,CODBARRAS
303,GUIDAO TITAN 99,"30,00",NULL
304,GUIDAO CB300R CR,"40,00",NULL
305,"GUIDAO BROSS 125/150 1,90MM","85,00",7908342719082
306,CAPACETE VERMELHO TAM(56) - SAN MARINO,"200,00",NULL
307,LANTERNA TRAS BIZ 125 2012 VERMELHO/AM,"58,00",NULL
308,CAPACETE PRETO FEM TAM(56) - SAN MARINO,"200,00",NULL
309,CAPACETE BRANCO FEM TAM(56) - SAN MARINO,"200,00",NULL
310,CAPACETE VERMELHO TAM(58) - SAN MARINO,"200,00",NULL
311,CAPACETE ROSA TAM(58) - SAN MARINO,"140,00",NULL
312,CAPACETE ROSA FEM  TAM(56) - SAN MARINO,"200,00",NULL
313,CAPACETE PRETO FOSCO  TAM(60) - SAN MARINO,"200,00",NULL
314,CAPACETE PRETO FEM TAM(58) - SAN MARINO TAURUS,"220,00",7898483645206
315,CAPACETE PRETO FOSCO TAM(58) - SAN MARINO,"200,00",NULL
316,CAPACETE PRETO JUNIOR FEM (52) - SAN MARINO,"145,00",NULL
317,CAPACETE LILAS FEM TAM(60) - SAN MARINO,"200,00",NULL
318,CAPACETE PRETO TAM(54) - LIBERTY KIDS,"145,00",7899101651586
319,CAPACETE PRETO ROSA TAM(54) - LIBERTY KIDS,"145,00",7899101651609
320,CAPACETE VERMELHO  TAM(54) - LIBERTY KIDS,"135,00",NULL
321,CAPACETE VERMELHO TAM(56) - GOW INTERLAGO,"135,00",NULL
322,CAPACETE PRATA  TAM(56) - GOW INTERLAGO,"135,00",NULL
323,CAPACETE AZUL  TAM(58) - GOW INTERLAGO,"135,00",NULL
324,CAPACETE PRETO  TAM(58) - GOW INTERLAGO,"135,00",NULL
325,CAPACETE PRATA  TAM(58) - GOW INTERLAGO,"135,00",NULL
326,CAPACETE ROSA FEM TAM(56) - GOW INTERLAGO,"135,00",NULL
327,CAPACETE ROSA JUNNIOR TAM(52) - SAN MARINO,"190,00",NULL
328,CAPACETE PRETO TAM(58) - LIBERTY,"140,00",NULL
329,CAPACETE AMARELO TAM(58) - LIBERTY PRO TORK,"140,00",NULL
330,CAPACETE F-21 VERMELHO TAM(58) - PEELS,"250,00",NULL
331,CAPACETE  PRETO BRILHANTE DRAGON VERMELHO  TAM(58),"95,00",NULL
332,CAPACETE AZUL  TAM(58) - VAZ,"135,00",NULL
333,CAMARA DE AR BIZ DIANT 17X250 - RINALDI,"45,00",7898493797223
334,CAMARA DE AR TITAN TRAS/DIANT 90/90X18- RINALDI,"45,00",7898493797254
335,CAMARA DE AR BIZ TRAS 80/100-14 - RINALDI,"35,00",NULL
336,CAMARA DE AR XLR TORNADO TRAS 410/18 - RINALDI,"50,00",NULL
